Pick,Assigned Value,pct of total draft value,pct x 1000
1,"3,000",4.938%,42.79
2,"2,600",4.279%,36.21
3,"2,200",3.621%,29.63
4,"1,800",2.963%,27.98
5,"1,700",2.798%,26.33
6,"1,600",2.633%,24.69
7,"1,500",2.469%,23.04
8,"1,400",2.304%,22.22
9,"1,350",2.222%,21.40
10,"1,300",2.140%,20.57
11,"1,250",2.057%,19.75
12,"1,200",1.975%,18.93
13,"1,150",1.893%,18.11
14,"1,100",1.811%,17.28
15,"1,050",1.728%,16.46
16,"1,000",1.646%,15.64
17,950,1.564%,14.81
18,900,1.481%,14.40
19,875,1.440%,13.99
20,850,1.399%,13.17
21,800,1.317%,12.84
22,780,1.284%,12.51
23,760,1.251%,12.18
24,740,1.218%,11.85
25,720,1.185%,11.52
26,700,1.152%,11.19
27,680,1.119%,10.86
28,660,1.086%,10.53
29,640,1.053%,10.20
30,620,1.020%,9.88
31,600,0.988%,9.71
32,590,0.971%,9.55
33,580,0.955%,9.22
34,560,0.922%,9.05
35,550,0.905%,8.89
36,540,0.889%,8.72
37,530,0.872%,8.56
38,520,0.856%,8.39
39,510,0.839%,8.23
40,500,0.823%,8.06
41,490,0.806%,7.90
42,480,0.790%,7.74
43,470,0.774%,7.57
44,460,0.757%,7.41
45,450,0.741%,7.24
46,440,0.724%,7.08
47,430,0.708%,6.91
48,420,0.691%,6.75
49,410,0.675%,6.58
50,400,0.658%,6.42
51,390,0.642%,6.25
52,380,0.625%,6.09
53,370,0.609%,5.93
54,360,0.593%,5.76
55,350,0.576%,5.60
56,340,0.560%,5.43
57,330,0.543%,5.27
58,320,0.527%,5.10
59,310,0.510%,4.94
60,300,0.494%,4.81
61,292,0.481%,4.67
62,284,0.467%,4.54
63,276,0.454%,4.44
64,270,0.444%,4.36
65,265,0.436%,4.28
66,260,0.428%,4.20
67,255,0.420%,4.11
68,250,0.411%,4.03
69,245,0.403%,3.95
70,240,0.395%,3.87
71,235,0.387%,3.79
72,230,0.379%,3.70
73,225,0.370%,3.62
74,220,0.362%,3.54
75,215,0.354%,3.46
76,210,0.346%,3.37
77,205,0.337%,3.29
78,200,0.329%,3.21
79,195,0.321%,3.13
80,190,0.313%,3.04
81,185,0.304%,2.96
82,180,0.296%,2.88
